Date,Log Return
2019/8/26,0.018821152
2019/8/27,-0.011348203
2019/8/28,0.006688066
2019/8/29,0.016789863
2019/8/30,-0.001292399
2019/9/3,-0.014670572
2019/9/4,0.016823894
2019/9/5,0.019363043
2019/9/6,-9.38E-05
2019/9/9,0.004258005
2019/9/10,0.011743871
2019/9/11,0.031300257
2019/9/12,-0.002238828
2019/9/13,-0.019645871
2019/9/16,0.005243527
2019/9/17,0.003631386
2019/9/18,0.009335598
2019/9/19,-0.008158224
2019/9/20,-0.014725845
2019/9/23,0.004536511
2019/9/24,-0.004766486
2019/9/25,0.015272563
2019/9/26,-0.005170968
2019/9/27,-0.004877903
2019/9/30,0.023262573
2019/10/1,0.002764289
2019/10/2,-0.025387285
2019/10/3,0.008458763
2019/10/4,0.027646036
2019/10/7,0.000220315
2019/10/8,-0.011783966
2019/10/9,0.011651727
2019/10/10,0.013388407
2019/10/11,0.026250841
2019/10/14,-0.001440349
2019/10/15,-0.002334547
2019/10/16,-0.004045446
2019/10/17,0.003875357
2019/10/18,0.004791323
2019/10/21,0.017193976
2019/10/22,-0.002289194
2019/10/23,0.013329537
2019/10/24,0.001643572
2019/10/25,0.012241081
2019/10/28,0.00996711
2019/10/29,-0.023399507
2019/10/30,-0.000123352
2019/10/31,0.022357724
2019/11/1,0.027985585
2019/11/4,0.006545521
2019/11/5,-0.001437942
2019/11/6,0.000427971
2019/11/7,0.011475065
2019/11/8,0.002732959
2019/11/11,0.007887733
2019/11/12,-0.000915906
2019/11/13,0.009535895
2019/11/14,-0.006943503
2019/11/15,0.011809703
2019/11/18,0.005029243
2019/11/19,-0.003037015
2019/11/20,-0.011709834
2019/11/21,-0.004493535
2019/11/22,-0.000878073
2019/11/25,0.017381676
2019/11/26,-0.007839436
2019/11/27,0.013342864
2019/11/29,-0.002205268
2019/12/2,-0.011629555
2019/12/3,-0.017990864
2019/12/4,0.008787727
2019/12/5,0.014563893
2019/12/6,0.019132362
2019/12/9,-0.014098892
2019/12/10,0.005827246
2019/12/11,0.008493124
2019/12/12,0.002545159
2019/12/13,0.013501617
2019/12/16,0.016973086
2019/12/17,0.001963718
2019/12/18,-0.002392669
2019/12/19,0.001000448
2019/12/20,-0.002073236
2019/12/23,0.016186695
2019/12/24,0.000949943
2019/12/26,0.019646405
2019/12/27,-0.000379899
2019/12/30,0.005917793
2019/12/31,0.007280151
2020/1/2,0.022559793
2020/1/3,-0.009769703
2020/1/6,0.007936788
2020/1/7,-0.004714002
2020/1/8,0.015957982
2020/1/9,0.02101816
2020/1/10,0.002258104
2020/1/13,0.021139484
2020/1/14,-0.013595218
2020/1/15,-0.004294342
2020/1/16,0.012448437
2020/1/17,0.011010164
2020/1/21,-0.006799925
2020/1/22,0.003563121
2020/1/23,0.004804253
2020/1/24,-0.002886123
2020/1/27,-0.029846132
2020/1/28,0.02789633
2020/1/29,0.020716515
2020/1/30,-0.001450304
2020/1/31,-0.045351658
2020/2/3,-0.002750002
2020/2/4,0.032480313
2020/2/5,0.008121269
2020/2/6,0.011629009
2020/2/7,-0.013685792
2020/2/10,0.004738192
2020/2/11,-0.006051535
2020/2/12,0.023470363
2020/2/13,-0.007146622
2020/2/14,0.000246292
2020/2/18,-0.018480448
