Date,Close/Last,Volume,Open,High,Low
06/15/2023,$173.81,2797604,$171.41,$174.53,$169.5687
06/14/2023,$174.47,2326124,$176.02,$177.04,$173.39
06/13/2023,$175.14,2480393,$174.41,$176.12,$174.21
06/12/2023,$173.64,2610433,$172.01,$173.93,$171.93
06/09/2023,$171.72,2200936,$171.94,$172.22,$170.9401
06/08/2023,$171.14,2354853,$170.65,$171.53,$169.56
06/07/2023,$171.55,2789037,$173.65,$173.65,$170.70
06/06/2023,$171.82,3631658,$167.85,$172.65,$167.50
06/05/2023,$167.43,2871111,$168.24,$168.1791,$165.83
06/02/2023,$168.56,4820511,$164.99,$169.85,$164.49
06/01/2023,$162.72,4087197,$159.06,$163.99,$158.23
05/31/2023,$158.56,5588546,$157.67,$159.605,$156.2625
05/30/2023,$158.01,3268247,$157.15,$158.95,$156.66
05/26/2023,$157.24,4015476,$152.81,$158.25,$152.53
05/25/2023,$151.08,3234307,$149.60,$151.50,$149.37
05/24/2023,$150.72,2308439,$151.50,$151.70,$150.12
05/23/2023,$152.56,2928596,$154.47,$155.76,$152.50
05/22/2023,$155.51,2483796,$153.67,$155.90,$153.28
05/19/2023,$152.95,2258568,$154.57,$154.915,$152.1377
05/18/2023,$153.48,2629827,$152.25,$154.12,$151.06
05/17/2023,$152.09,2446457,$149.82,$152.885,$149.30
05/16/2023,$148.41,1960309,$150.19,$152.41,$148.37
05/15/2023,$150.00,2271856,$148.18,$150.21,$147.93
05/12/2023,$147.93,2320020,$149.32,$149.32,$147.0893
05/11/2023,$147.99,2900305,$147.97,$148.50,$146.275
05/10/2023,$148.68,4602636,$153.61,$154.67,$147.95
05/09/2023,$153.38,2322801,$152.00,$153.73,$151.88
05/08/2023,$153.04,2271642,$153.41,$154.58,$152.95
05/05/2023,$152.65,2223216,$151.29,$153.3167,$151.12
05/04/2023,$148.81,3997870,$151.03,$151.25,$147.40
05/03/2023,$152.21,2655259,$153.26,$154.98,$151.84
05/02/2023,$153.25,4925558,$158.35,$158.35,$151.91
05/01/2023,$159.32,1803622,$161.85,$161.85,$158.68
04/28/2023,$161.34,2380121,$157.30,$161.38,$156.88
04/27/2023,$158.45,2143715,$156.54,$158.70,$155.91
04/26/2023,$155.72,2789135,$155.77,$157.265,$155.08
04/25/2023,$156.12,3421311,$158.91,$159.25,$155.965
04/24/2023,$160.59,2473468,$164.23,$164.30,$160.4015
04/21/2023,$163.78,3882603,$163.02,$164.7681,$161.23
04/20/2023,$163.28,10832400,$159.00,$163.75,$154.01
04/19/2023,$164.95,3768644,$164.37,$166.55,$163.74
04/18/2023,$164.40,2444533,$164.60,$165.0487,$163.28
04/17/2023,$163.71,2622345,$161.94,$163.74,$160.885
04/14/2023,$163.22,2618077,$164.24,$164.77,$161.46
04/13/2023,$162.30,2729022,$159.80,$162.42,$158.98
04/12/2023,$159.29,2817645,$163.22,$163.22,$158.8651
04/11/2023,$161.83,2742327,$161.67,$162.58,$160.315
04/10/2023,$161.14,2372633,$158.04,$161.17,$157.80
04/06/2023,$158.83,3754544,$160.63,$160.79,$158.23
04/05/2023,$161.08,2346826,$160.56,$161.60,$160.19
04/04/2023,$162.56,2063730,$165.01,$165.19,$160.83
04/03/2023,$163.78,2704361,$164.11,$165.24,$162.68
03/31/2023,$164.95,3594349,$163.67,$165.08,$161.75
03/30/2023,$162.41,2644815,$163.96,$164.96,$161.81
03/29/2023,$163.59,3884987,$161.70,$164.1871,$161.08
03/28/2023,$159.21,4883678,$162.21,$162.59,$158.19
03/27/2023,$163.12,3974110,$163.95,$164.47,$161.83
03/24/2023,$159.78,2588943,$160.52,$160.705,$157.82
03/23/2023,$162.76,3727735,$162.67,$166.24,$160.82
03/22/2023,$162.75,4367267,$164.63,$166.77,$162.50
03/21/2023,$164.56,3986761,$162.94,$164.57,$161.70
03/20/2023,$158.74,3054323,$158.37,$160.69,$157.57
03/17/2023,$156.52,7447152,$158.22,$158.648,$154.90
03/16/2023,$160.73,4738349,$158.06,$161.92,$156.10
03/15/2023,$159.81,6100774,$157.91,$159.955,$155.93
03/14/2023,$163.91,5284046,$161.50,$164.32,$160.88
03/13/2023,$157.63,6123186,$161.485,$161.985,$157.42
03/10/2023,$165.70,5104317,$170.83,$170.83,$164.835
03/09/2023,$172.12,4349449,$179.595,$180.2674,$171.955
03/08/2023,$174.83,2101443,$175.83,$176.22,$173.57
03/07/2023,$175.32,2906585,$178.67,$178.90,$175.08
03/06/2023,$179.06,2730912,$178.56,$180.515,$178.46
03/03/2023,$179.09,2875671,$176.01,$179.39,$175.23
03/02/2023,$175.34,1795345,$174.04,$175.825,$172.66
03/01/2023,$175.91,2566454,$173.51,$177.20,$173.01
02/28/2023,$173.99,2301391,$174.01,$175.335,$173.58
02/27/2023,$173.30,1909122,$175.53,$175.69,$173.08
02/24/2023,$174.25,1667412,$173.69,$174.94,$172.19
02/23/2023,$175.14,2575312,$175.24,$176.60,$172.855
02/22/2023,$174.70,2468774,$173.56,$176.0229,$172.93
02/21/2023,$173.48,2713342,$175.12,$176.50,$173.32
02/17/2023,$177.30,2355409,$176.05,$177.61,$174.655
02/16/2023,$177.94,1899103,$179.48,$179.88,$177.68
02/15/2023,$180.67,1502075,$178.92,$180.74,$178.50
02/14/2023,$181.02,2326126,$180.31,$182.15,$178.79
02/13/2023,$181.33,3102548,$179.24,$181.3806,$178.28
02/10/2023,$179.25,2586245,$178.57,$179.73,$176.49
02/09/2023,$179.37,3557851,$179.15,$182.08,$178.48
02/08/2023,$179.00,2926547,$179.75,$180.10,$177.88
02/07/2023,$178.70,3526392,$175.05,$179.03,$174.7482
02/06/2023,$176.48,3397762,$176.74,$177.75,$175.69
02/03/2023,$178.86,5305060,$171.56,$180.40,$171.21
02/02/2023,$173.13,6895514,$174.16,$175.22,$171.08
02/01/2023,$173.61,3725218,$173.38,$175.12,$171.93
01/31/2023,$174.93,5170928,$172.91,$175.31,$171.895
01/30/2023,$172.66,10240660,$174.79,$177.86,$172.5108
01/27/2023,$172.31,13997340,$166.80,$175.5416,$165.50
01/26/2023,$155.88,3640253,$157.65,$158.2299,$154.285
01/25/2023,$156.77,2916452,$153.49,$157.055,$153.37
01/24/2023,$155.33,2348501,$154.00,$156.67,$152.6601
01/23/2023,$154.00,3608652,$152.00,$155.06,$151.55
01/20/2023,$151.60,3954780,$147.96,$151.78,$147.72
01/19/2023,$146.85,3852474,$146.61,$148.00,$144.20
01/18/2023,$150.42,2762417,$154.49,$154.7599,$150.3205
01/17/2023,$153.75,3073414,$155.54,$156.10,$153.37
01/13/2023,$155.76,2391262,$153.24,$156.25,$152.30
01/12/2023,$154.92,3322481,$154.76,$155.748,$152.40
01/11/2023,$153.92,3113699,$152.30,$154.11,$152.27
01/10/2023,$152.00,2198389,$150.51,$152.18,$149.28
01/09/2023,$150.40,3219406,$151.35,$152.445,$150.10
01/06/2023,$150.17,3077593,$147.74,$150.43,$145.48
01/05/2023,$146.43,2505858,$147.16,$148.72,$146.02
01/04/2023,$150.54,2620388,$148.56,$151.96,$148.56
01/03/2023,$147.12,2762338,$149.54,$150.45,$145.73
12/30/2022,$147.75,2247443,$146.01,$147.93,$145.73
12/29/2022,$147.32,1758641,$145.08,$147.62,$144.4001
12/28/2022,$144.01,1490160,$146.21,$146.82,$143.94
12/27/2022,$146.39,1858526,$147.29,$147.86,$145.67
12/23/2022,$147.02,1671830,$145.23,$147.1391,$144.52
12/22/2022,$145.31,2901666,$146.05,$146.70,$142.72
12/21/2022,$147.10,2107058,$147.06,$147.7777,$146.37
12/20/2022,$145.70,1607973,$144.99,$146.50,$144.25
12/19/2022,$145.01,2546222,$146.04,$146.74,$143.66
12/16/2022,$146.30,4510826,$148.59,$148.59,$144.15
12/15/2022,$150.22,4284799,$151.65,$152.28,$146.47
12/14/2022,$154.11,3556245,$157.57,$158.62,$153.84
12/13/2022,$157.52,3110544,$160.62,$161.55,$156.16
12/12/2022,$157.31,2773937,$154.26,$157.76,$154.00
12/09/2022,$153.90,1761275,$153.99,$155.14,$152.6168
12/08/2022,$154.12,1632502,$155.89,$156.42,$153.45
12/07/2022,$154.77,2879830,$154.56,$156.99,$154.3101
12/06/2022,$154.70,3285269,$155.75,$158.34,$153.321
12/05/2022,$156.08,3013097,$155.96,$159.445,$155.55
12/02/2022,$156.75,2285397,$155.22,$157.28,$155.00
12/01/2022,$157.50,2670351,$157.72,$158.87,$154.75
11/30/2022,$157.59,3914739,$153.84,$157.59,$151.4831
11/29/2022,$154.42,2655744,$150.96,$154.47,$150.525
11/28/2022,$150.87,1783271,$152.69,$153.78,$150.37
11/25/2022,$154.15,665794,$153.52,$154.47,$153.17
11/23/2022,$153.93,1404497,$153.83,$154.99,$152.88
